bgrid,bgrname,bgrseverity,bgrassignedto,bgrreportedby,bgrreportedon,bgrstatus,bgrenvironment,bgrdesc
bgrid1,Arithmetic overflow,high,Caleb41,Caleb1,12/7/2015,in progress,Test,"In software development projects, a ""mistake"" or ""fault"" may be introduced at any stage. Bugs arise from oversights or misunderstandings made by a software team during specification, design, coding, data entry or documentation."
bgrid2,Infinite loops ,high,Caleb1,Caleb2,12/7/2015,fixed,Prod,"In software development projects, a ""mistake"" or ""fault"" may be introduced at any stage. Bugs arise from oversights or misunderstandings made by a software team during specification, design, coding, data entry or documentation."
bgrid3,Unpropagated updates,high,Caleb10,Caleb2,3/6/2016,in progress,Dev,"In software development projects, a ""mistake"" or ""fault"" may be introduced at any stage. Bugs arise from oversights or misunderstandings made by a software team during specification, design, coding, data entry or documentation."
bgrid4,Infinite loops ,high,Caleb1,Caleb1,4/5/2016,fixed,Prod,"For example, a relatively simple program to alphabetize a list of words, the design might fail to consider what should happen when a word contains a hyphen. "
bgrid5,Division by zero.,low,Caleb48,Caleb2,6/4/2016,not started,Prod,"These bugs may be difficult to detect or anticipate, since they may not occur during every execution of a program."
bgrid6,Unpropagated updates,medium,Caleb1,Caleb2,10/8/2015,fixed,Test,"For example, a relatively simple program to alphabetize a list of words, the design might fail to consider what should happen when a word contains a hyphen. "
bgrid7,Incorrect hardware handling,high,Caleb1,Caleb46,11/7/2015,not started,Prod,"For example, a relatively simple program to alphabetize a list of words, the design might fail to consider what should happen when a word contains a hyphen. "
bgrid8,Differences between documentation and product,low,Caleb25,Caleb36,2/5/2016,in progress,Prod,Another category of bug is called a race condition that may occur when programs have multiple components executing at the same time.
bgrid9,Incorrect assumptions of a particular platform,high,Caleb1,Caleb2,2/5/2016,fixed,Act,Another category of bug is called a race condition that may occur when programs have multiple components executing at the same time.
bgrid10,Differences between documentation and product,medium,Caleb10,Caleb1,6/4/2016,in progress,Prod,Another category of bug is called a race condition that may occur when programs have multiple components executing at the same time.
bgrid11,Incompatible systems,low,Caleb1,Caleb2,10/8/2015,fixed,Prod,"For example, a relatively simple program to alphabetize a list of words, the design might fail to consider what should happen when a word contains a hyphen. "
bgrid12,Infinite loops ,high,Caleb47,Caleb1,9/8/2015,in progress,Prod,"Or when converting an abstract design into code, the coder might inadvertently create an off-by-one error and fail to sort the last word in the list. Errors may be as simple as a typing error: a ""<"" where a "">"" was intended."
bgrid13,Unpropagated updates,low,Caleb1,Caleb2,10/8/2015,not started,Prod,"Or when converting an abstract design into code, the coder might inadvertently create an off-by-one error and fail to sort the last word in the list. Errors may be as simple as a typing error: a ""<"" where a "">"" was intended."
bgrid14,Unpropagated updates,medium,Caleb1,Caleb1,4/5/2016,not started,Prod,"These bugs may be difficult to detect or anticipate, since they may not occur during every execution of a program."
bgrid15,Infinite loops ,low,Caleb29,Caleb9,4/5/2016,fixed,Act,"In software development projects, a ""mistake"" or ""fault"" may be introduced at any stage. Bugs arise from oversights or misunderstandings made by a software team during specification, design, coding, data entry or documentation."
bgrid16,Differences between documentation and product,low,Caleb2,Caleb20,11/7/2015,fixed,Prod,"These bugs may be difficult to detect or anticipate, since they may not occur during every execution of a program."
bgrid17,Unpropagated updates,medium,Caleb1,Caleb1,11/7/2015,not started,Prod,"For example, a relatively simple program to alphabetize a list of words, the design might fail to consider what should happen when a word contains a hyphen. "
bgrid18,Incorrect hardware handling,low,Caleb1,Caleb10,9/8/2015,fixed,Prod,Another category of bug is called a race condition that may occur when programs have multiple components executing at the same time.
bgrid19,Division by zero.,high,Caleb1,Caleb1,2/5/2016,fixed,Act,"Or when converting an abstract design into code, the coder might inadvertently create an off-by-one error and fail to sort the last word in the list. Errors may be as simple as a typing error: a ""<"" where a "">"" was intended."
